price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final,model_type_standardized
33000.0,Pickup 300TDI 5-Speed,90 Pickup,Green,83885.0,26,Original & Highly Original,300tdi
35000.0,2.0L Mpi 5-Speed,90 Hard Top,Black,144779.0,26,Restored-Modified,gas
55000.0,standard,110 Wagon,White,72751.0,43,Restored-Modified,standard
35000.0,200TDI,90 Hard Top,White,93889.0,32,Restored-Original,200tdi
70000.0,2.5 Turbodiesel 5-Speed,90 Soft Top,Red,102021.0,35,Restored-Original,td
36500.0,300TDI 5-Speed,90 Hard Top,Green,114332.0,28,Restored-Modified,300tdi
55000.0,standard,110 Wagon,Blue,47800.0,27,Restored-Modified,standard
42000.0,5-Speed,90 Hard Top,Black,7000.0,34,Restored-Modified,standard
45000.0,300TDI 5-Speed,90 Soft Top,White,101283.0,28,Restored-Original,300tdi
77000.0,300TDI 5-Speed,110 Wagon,Blue,435.0,28,Restored-Modified,300tdi
70000.0,200TDI 5-Speed,90 Hard Top,Gray,81400.0,31,Restored-Modified,200tdi
52555.0,300TDI 5-Speed,110 Wagon,Green,95070.0,26,Original & Highly Original,300tdi
95500.0,2.8L Turbodiesel 6-Speed,110 Hard Top,Gray,57000.0,36,Restored-Modified,td
85000.0,200TDI 5-Speed,90 Soft Top,Gray,117439.0,29,Restored-Modified,200tdi
20250.0,Diesel 5-Speed,110 Hard Top,Green,66487.0,32,Restored-Original,standard
41000.0,standard,90 Hard Top,White,231586.0,29,Restored-Original,standard
41000.0,200TDI 5-Speed,90 Hard Top,Green,106254.0,30,Restored-Original,200tdi
34000.0,300TDI hi-Cap,110 Pickup - Single Cab,Green,121789.0,27,Restored-Original,300tdi
85000.0,standard,90 Hard Top,Red,284339.0,30,Restored-Original,standard
80000.0,200TDI 5-Speed,90 Hard Top,Gray,3000.0,32,Restored-Modified,200tdi
40250.0,200TDI 5-Speed,90 Hard Top,Gray,51574.0,32,Modified,200tdi
61000.0,2.5 Turbodiesel 5-Speed,90 Hard Top,Green,22991.0,34,Restomod & Custom,td
80500.0,5-Speed,90 Soft Top,Green,66000.0,29,Original & Highly Original,standard
85000.0,300TDI 5-Speed,110 Wagon,Gray,93206.0,27,Restored-Modified,300tdi
65000.0,standard,90 Soft Top,Gold/Bronze,73343.0,31,Restored-Modified,standard
35000.0,300TDI,110 Wagon,White,71462.0,28,Restored-Modified,300tdi
39000.0,200TDI 5-Speed,90 Hard Top,Gray,145401.0,32,Restored-Modified,200tdi
110000.0,5-Speed,110 Wagon,Red,29000.0,35,Restored-Modified,standard
35000.0,300TDI,110 Wagon,White,71462.0,28,Restored-Modified,300tdi
46000.0,2.0L Mpi 5-Speed,90 Hard Top,Green,192625.0,27,Modified,gas
83000.0,standard,130,Gray,111000.0,27,Restored-Original,standard
67000.0,300TDI 5-Speed,110 Wagon,White,1988.0,27,Restored-Original,300tdi
87200.0,200TDI 5-Speed,110 Wagon,Red,4700.0,31,Restored-Original,200tdi
80000.0,200TDI 5-Speed,90 Hard Top,Gray,3000.0,32,Restored-Modified,200tdi
62000.0,300TDI 5-Speed,110 Wagon,Gray,808.0,28,Restored-Modified,300tdi
52509.0,200TDI 5-Speed,90 Hard Top,Gray,169013.0,30,Restored-Original,200tdi
49000.0,Land Rover Defender 90,90 Hard Top,Black,174000.0,33,Restored-Modified,standard
46000.0,2.0L Mpi,90 Hard Top,White,75186.0,26,Restored-Original,gas
57000.0,standard,110 Wagon,Green,25669.0,30,Restored-Modified,standard
101000.0,200TDI 5-Speed,110 Hard Top,Beige,131.0,31,Restored-Modified,200tdi
106000.0,200TDI 5-Speed,90 Hard Top,Blue,8200.0,32,Restored-Modified,200tdi
53000.0,200TDI 5-Speed,90 Hard Top,Silver,62137.0,32,Restored-Modified,200tdi
78500.0,300TDI 5-Speed,110 Wagon,Black,121167.0,27,Restored-Original,300tdi
65000.0,200TDI 5-Speed,90 Hard Top,Gray,34175.0,32,Restored-Original,200tdi
63500.0,300TDI 5-Speed,90 Soft Top,Blue,78000.0,27,Restored-Original,300tdi
55500.0,200TDI,90 Hard Top,Red,101905.0,29,Restored-Original,200tdi
55000.0,standard,110 Wagon,White,72751.0,43,Restored-Modified,standard
35000.0,200TDI 5-Speed,90 Hard Top,Green,163421.0,31,Restored-Original,200tdi
159500.0,standard,90 Soft Top,Yellow,26706.0,26,Original & Highly Original,standard
37551.0,200TDI 5-Speed,90 Hard Top,Orange/Copper,127000.0,31,Restored-Modified,200tdi
48550.0,200TDI 5-Speed,90 Hard Top,Green,132973.0,32,Original & Highly Original,200tdi
68000.0,5-Speed Custom,110 Wagon,Gray,139082.0,27,Restored-Modified,standard
68000.0,5-Speed Custom,110 Wagon,Gray,139082.0,27,Restored-Modified,standard
77100.0,200TDI 5-Speed,110 Wagon,Black,75186.0,30,Restored-Original,200tdi
48000.0,200TDI 5-Speed w/Trailer,90 Hard Top,Gray,138000.0,30,Restored-Modified,200tdi
65500.0,Pickup 300TDI 5-Speed,130,Green,187033.0,28,Restored-Modified,300tdi
40600.0,standard,90 Wagon,Gray,75706.0,29,Restored-Original,standard
40600.0,standard,90 Wagon,Gray,75706.0,29,Restored-Original,standard
81000.0,200TDI 5-Speed,90 Soft Top,Black,102000.0,29,Restored-Modified,200tdi
31000.0,standard,110 Soft Top,Silver,70000.0,32,Restored-Original,standard
38250.0,Land Rover Defender 90,90 Hard Top,Gray,173363.0,33,Restored-Original,standard
25750.0,Land Rover Defender 90 Pickup,90 Pickup,Black,129000.0,33,Modified,standard
37600.0,300TDI 5-Speed,90 Pickup,Red,129245.0,28,Restored-Original,300tdi
37600.0,300TDI 5-Speed,90 Pickup,Red,129245.0,28,Restored-Original,300tdi
75000.0,300TDI 5-Speed,90 Hard Top,White,173363.0,26,Original & Highly Original,300tdi
181000.0,5-Speed,110 Wagon,Gold/Bronze,2700.0,37,Restomod & Custom,standard
