price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final
41000.0,200TDI 5-Speed,110 Wagon,Orange/Copper,11900073943.0,31,Restored-Modified
33999.0,standard,110 Wagon,Green,106400.0,26,Restored-Modified
66000.0,Pickup 300TDI 5-Speed,130,White,35881.0,26,Restored-Modified
24000.0,300TDI 5-Speed,90 Hard Top,Gray,983712.0,28,Restored-Modified
41000.0,300TDI 5-Speed,90 Hard Top,Green,121167.345,28,Restored-Original
52000.0,NAS,90 Wagon,White,134000.0,28,Modified
75000.0,NAS,90 Soft Top,White,76000.0,28,Original & Highly Original
25250.0,300TDI 5-Speed,110 Hard Top,Green,136701.62,27,Restored-Original
75000.0,Pickup 300TDI 5-Speed,130,Black,200.0,28,Modified
42000.0,300TDI 5-Speed,90 Wagon,Blue,140429.846,26,Restored-Modified
73000.0,Station Wagon #285/500,90 Wagon,White,70300.0,28,Original & Highly Original
73000.0,Station Wagon #285/500,90 Wagon,White,70300.0,28,Original & Highly Original
66000.0,Soft Top,90 Soft Top,Yellow,78400.0,29,Original & Highly Original
62000.0,200TDI 5-Speed,110 Wagon,White,156585.492,30,Restored-Modified
81001.0,NAS 5-Speed,90 Wagon,White,104000.0,28,Original & Highly Original
62300.0,standard,90 Soft Top,White,94956.0,29,Original & Highly Original
27250.0,200TDI 5-Speed,90 Hard Top,Green,124274.2,31,Restored-Original
138000.0,standard,90 Hard Top,White,5400.0,35,Restored-Original
37600.0,300TDI 5-Speed,90 Pickup,Red,129245.168,28,Restored-Original
138000.0,NAS,110 Wagon,White,47000.0,30,Original & Highly Original
77500.0,300TDI 5-Speed,90 Soft Top,Blue,126138.313,26,Restored-Modified
130000.0,NAS 5-Speed,90 Soft Top,White,52000.0,28,Restored-Modified
71000.0,NAS 5-Speed,90 Wagon,Green,175000.0,28,Modified
46000.0,5-Speed,90 Wagon,Silver,165906.0,26,Restored-Modified
39250.0,Pickup 5-Speed,110 Pickup - Single Cab,Gray,86991.94,27,Restored-Modified
41440.0,Land Rover Defender 90 Hard Top,90 Hard Top,White,85000.0,33,Restored-Original
115000.0,Custom,110 Wagon,Gray,0.0,29,Restomod & Custom
62000.0,200TDI 5-Speed,110 Wagon,White,156585.492,30,Restored-Modified
66000.0,standard,90 Wagon,White,45000.0,28,Original & Highly Original
39000.0,2.0L Mpi,90 Hard Top,Blue,138419.0,27,Original & Highly Original
40000.0,standard,110 Wagon,White,184300.0,27,Modified
66250.0,NAS 5-Speed,90 Soft Top,White,116422.0,29,Modified
24000.0,standard,90 Hard Top,Silver,198600.0,27,Restored-Modified
75000.0,Pickup 300TDI 5-Speed,130,Black,200.0,28,Modified
148995.0,Crew Cab LS3 4L80 Trans,110 Pickup - Double Cab,Gray,1297.0,36,Restomod & Custom
140000.0,NAS,110 Wagon,White,63000.0,30,Original & Highly Original
148995.0,Crew Cab LS3 4L80 Trans,110 Pickup - Double Cab,Gray,1297.0,36,Restomod & Custom
73000.0,NAS 5-Speed,90 Wagon,Green,49000.0,28,Modified
38000.0,standard,90 Hard Top,Green,138330.0,28,Original & Highly Original
66000.0,standard,110 Wagon,White,75000.0,30,Restored-Original
141000.0,200TDI 5-Speed,110 Wagon,Black,9000.0,31,Restored-Modified
91500.0,Convertible,90 Soft Top,Green,72068.0,28,Original & Highly Original
101000.0,Convertible,90 Soft Top,Green,20214.0,29,Original & Highly Original
63000.0,NAS 5-Speed,90 Soft Top,Red,102000.0,28,Original & Highly Original
32000.0,2.0L Mpi 5-Speed,90 Hard Top,Gray,155486.0,27,Restored-Modified
56500.0,300TDI 5-Speed,90 Wagon,Green,152000.0,28,Restored-Modified
66000.0,NAS 5-Speed,90 Soft Top,Yellow,105000.0,29,Original & Highly Original
57888.0,standard,90 Wagon,Green,57927.932846,35,Modified
42500.0,2.0L Mpi 5-Speed,90 Hard Top,Gray,55923.39,28,Restored-Original
34000.0,300TDI 5-Speed,90 Hard Top,White,129245.168,28,Restored-Original
51000.0,200TDI 5-Speed,90 Hard Top,Gray,400.0,32,Modified
55000.0,NAS 5-Speed,90 Soft Top,Yellow,86000.0,29,Modified
32000.0,2.0L Mpi 5-Speed,90 Hard Top,Gray,155486.0,27,Restored-Modified
51500.0,300TDI 5-Speed,110 Wagon,White,149129.04,28,Original & Highly Original
58000.0,300TDI 5-Speed,90 Wagon,Orange/Copper,95691.134,27,Restored-Modified
69500.0,standard,130,Green,3700.0,29,Original & Highly Original
48000.0,300TDI 5-Speed,90 Soft Top,Gray,126138.313,28,Restored-Original
90000.0,NAS 5-Speed,90 Soft Top,Red,23000.0,28,Original & Highly Original
57000.0,NAS,90 Wagon,White,152600.0,28,Restored-Modified
24000.0,standard,90 Hard Top,Silver,198600.0,27,Restored-Modified
76500.0,300TDI 5-Speed,110 Wagon,Silver,111225.409,26,Restored-Modified
90200.0,Land Rover Defender 90,90 Hard Top,Gray,0.0,33,Restored-Modified
42000.0,300TDI 5-Speed,90 Wagon,Blue,140429.846,26,Restored-Modified
115000.0,Custom,110 Wagon,Gray,0.0,29,Restomod & Custom
50000.0,2.0L Mpi 5-Speed,90 Hard Top,Brown,114953.635,27,Restored-Modified
62700.0,standard,110 Wagon,Gray,0.0,26,Restored-Modified
33000.0,Pickup 300TDI 5-Speed,90 Pickup,Green,83885.085,26,Original & Highly Original
35000.0,2.0L Mpi 5-Speed,90 Hard Top,Black,144779.443,26,Restored-Modified
